First_pokemon,Name_first,Type 1_first,Type 2_first,Generation_first,Legendary_first,Second_pokemon,Name_second,Type 1_second,Type 2_second,Generation_second,Legendary_second,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Winner
266,Larvitar,Rock,Ground,2,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,2,1,2,2
73,Machop,Fighting,,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,1,1,2,2,2,2
373,Whiscash,Water,Ground,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,2,2
536,Fan Rotom,Electric,Flying,4,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,1,1,1,1
368,Zangoose,Normal,,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,2,1,1,1
659,Ferroseed,Grass,Steel,5,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,2,1,2,2
736,Litleo,Fire,Normal,6,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,1,1,1,1
638,Gothitelle,Psychic,,5,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,1,1,1,1,1
129,Seaking,Water,,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,1,1
517,Tangrowth,Grass,,4,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,2,2
623,Sigilyph,Psychic,Flying,5,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,2,1,1,1,1,1
526,Porygon-Z,Normal,,4,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,1,1
347,Swalot,Poison,,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,2,2
347,Swalot,Poison,,3,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,1,1,1,1,1,2,2
27,Spearow,Normal,Flying,1,FALSE,298,Nuzleaf,Grass,Dark,3,FALSE,2,2,2,2,2,1,1
